heat,gender,position,name,club,time,pb,status
1,Men,1,Lou Rowan,Deakin,3:41.3,Yes,
1,Men,2,Mark Tucker,Geelong,3:42.4,No,
1,Men,3,P.J. Bosch,Sth Aust,3:48.2,Yes,
1,Men,4,Brad Dyson,Glenhuntly,3:48.8,Yes,
1,Men,5,Julian Kuppler,Glenhuntly,3:49.3,Yes,
1,Men,6,Grant Schmidlechner,Doncaster,3:49.5,No,
1,Men,7,Matt Coloe,Box Hill,3:50.5,Yes,
1,Men,8,Allan Failla,Doncaster,3:50.9,No,
1,Men,9,Mark Gorski,Essendon,3:51.5,No,
1,Men,10,David Ruschena,Glenhuntly,3:51.9,No,
1,Men,11,Marcus Morgan,St George (NSW),3:52.1,No,
1,Men,12,Patrick Li,Doncaster,3:58.2,No,
1,Men,,Neil Brennan (PM),Mentone,,No,DNF
1,Men,,Scott Rantall,Deakin,,No,DNF
3,Men,1,Andrew White,Box Hill,3:53.4,Yes,
3,Men,2,Mark Cornish,Eureka,3:54.5,No,
3,Men,3,Mitch Frey,Frankston,3:55.1,Yes,
3,Men,4,Daniel Clark,Box Hill,3:55.9,Yes,
3,Men,5,Josh Baker,Geelong Guild,3:56.4,Yes,
3,Men,6,Nick Wightman,Deakin,3:57.3,No,
3,Men,7,Ben Toomey,Knox,3:59.7,No,
3,Men,8,Steve Kelly,Box Hill,4:01.4,No,
3,Men,9,Sam Crowther,Knox,4:01.8,Yes,
3,Men,10,Paul Morgan,Bellarine,4:07.7,No,
3,Men,11,Simon Fitzpatrick,Aths Essendon,4:09.4,No,
3,Men,12,Damian Nugent,Box Hill,4:10.3,No,
3,Men,,Simon Austen,Richmond,,No,DNF
3,Men,,Simon Lewin (PM),St Kevins,,No,DNF
4,Men,1,Matt Bayley,Knox,4:00.4,Yes,
4,Men,2,Andrew Beath,Box Hill,4:04.7,Yes,
4,Men,3,Mark Seen,Knox,4:05.1,Yes,
4,Men,4,Luke Searle,Western Athletics,4:06.9,Yes,
4,Men,5,Ben Norman,Diamond Valley,4:07.2,Yes,
4,Men,6,Kane Wille,Knox,4:10.0,Yes,
4,Men,7,Dane Verwey,Frankston,4:11.4,No,
4,Men,8,Jason Eagleton,Sandringham,4:13.0,Yes,
4,Men,9,John Meagher,Box Hill,4:14.2,No,
4,Men,10,Cameron Macaulay,Western Athletics,4:14.9,No,
4,Men,11,Chris Kiddle,Box Hill,4:15.1,No,
4,Men,12,Ryan Christian,Deakin,4:15.3,No,
4,Men,13,Alan Shields,Ringwood,4:16.3,No,
4,Men,14,Adrian Sell,Knox,4:19.9,No,
4,Men,15,Ian Burrows,Sandringham,4:21.8,No,
5,Men,1,Matthew Hall,Mentone,4:17.7,Yes,
5,Men,2,Shinobu Katase,Diamond Valley,4:23.2,Yes,
5,Men,3,Jeremy Grey,Coburg,4:24.1,Yes,
5,Men,4,Dino Imbriano,St.Kevins,4:27.9,Yes,
5,Men,5,Anthony Lynch,Diamond Valley,4:28.8,Yes,
5,Men,6,Gerard Robb,Sandringham,4:29.9,Yes,
5,Men,7,Han Quach,Glenhuntly,4:30.2,No,
5,Men,8,Andrew Presnell,Sandringham,4:41.4,Yes,
5,Men,9,Chris Boylen,Collingwood,4:42.3,Yes,
5,Men,10,David Percival,Sandringham,4:46.0,Yes,
5,Men,11,Stuart Macauley,Western Athletics,4:48.8,No,
5,Men,12,Jay van Dongen,Knox,5:26.5,No,
5,Men,,Simon Lewin (PM),St Kevins,,No,DNF
2,Women,1,Libby Allen,Doncaster,4:23.3,No,
2,Women,2,Lisa-Jane Weightman,Preston,4:24.5,Yes,
2,Women,3,Alicia Tye-Smith,Knox,4:25.9,No,
2,Women,4,Kate Seibold-Crosbie,Sandringham,4:31.0,No,
2,Women,5,Rachel Green,Frankston,4:31.1,Yes,
2,Women,6,Hayley Tomlinson,Box Hill,4:38.1,No,
2,Women,7,Josie Gellert,Eureka,4:39.1,Yes,
2,Women,8,Kaila McKnight,Knox,4:42.0,Yes,
2,Women,9,Sarah Grahame,Frankston,4:44.8,Yes,
2,Women,10,Katie Duncan,Knox,4:45.8,Yes,
2,Women,11,Kellie Trollope,Glenhuntly,4:52.5,Yes,
2,Women,12,Muriel Cummins,Glenhuntly,4:53.2,Yes,
2,Women,13,Claire Fritze,Sandringham,4:54.7,No,
2,Women,,Simone Braakhuis,MUAC,,No,DNF
2,Women,,Juanita Liston (PM),Sandringham,,No,DNF
2,Women,,Julia Edwards (PM),Glenhuntly,,No,DNF
6,Women,1,Madeleine Pape,Ringwood,4:46.1,No,
6,Women,2,Esther Barker,Glenhuntly,4:53.4,Yes,
6,Women,3,Delwyn Hewitt,Glenhuntly,5:07.4,No,
6,Women,4,Gemma Cosgriff,Diamond Valley,5:48.2,No,
6,Women,,Juanita Liston (PM),Sandringham,,No,DNF

